               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.070156,             0.10023,            0.097659,             0.44156,             0.14806,            0.056073,            0.025577,            0.044915,            0.059122,            0.084738,            0.070144,           0.0033173,           0.0033173
                   1,             0.05154,            0.084222,             0.08209,             0.68148,             0.18883,             0.14231,            0.063045,            0.045066,            0.053716,            0.073546,            0.040118,           0.0066243,           0.0066243
                   2,            0.049095,            0.079798,             0.06997,             0.76543,             0.28544,             0.29732,             0.12637,            0.039398,            0.050048,            0.054171,            0.010065,           0.0099049,           0.0099049
                   3,            0.044131,             0.07583,            0.046229,             0.87773,             0.41868,             0.44937,             0.27263,            0.030501,            0.047036,            0.029633,           0.0098812,           0.0098812,           0.0098812
                   4,            0.039504,            0.072066,            0.029886,             0.91094,             0.47605,             0.49788,              0.2898,            0.032009,            0.047087,            0.021011,           0.0098812,           0.0098812,           0.0098812
                   5,            0.037249,             0.07077,            0.023042,             0.96727,             0.48908,             0.51833,             0.30451,            0.031361,             0.04648,            0.017338,           0.0098416,           0.0098416,           0.0098416
                   6,            0.035249,            0.068099,             0.01891,             0.97672,             0.50078,              0.5279,             0.33998,            0.028707,            0.045245,             0.01481,            0.009802,            0.009802,            0.009802
                   7,            0.033941,            0.067163,            0.016612,             0.98381,             0.50767,             0.54107,             0.36167,            0.026478,            0.043767,            0.013812,           0.0097624,           0.0097624,           0.0097624
                   8,            0.032892,            0.065745,            0.015216,             0.98272,              0.5033,             0.53542,             0.34917,            0.027871,             0.04514,            0.013365,           0.0097228,           0.0097228,           0.0097228
                   9,            0.032138,            0.064689,            0.014315,             0.98608,             0.51011,                0.54,             0.34291,            0.027492,            0.044724,            0.012594,           0.0096832,           0.0096832,           0.0096832
                  10,            0.031624,            0.063705,            0.013438,             0.97207,             0.53079,             0.55303,             0.38582,            0.025147,            0.042642,            0.011486,           0.0096436,           0.0096436,           0.0096436
                  11,            0.030631,            0.062722,            0.012667,              0.9723,             0.52196,             0.54658,             0.37347,            0.025574,             0.04274,            0.010889,            0.009604,            0.009604,            0.009604
                  12,            0.030258,            0.062098,            0.011868,              0.9545,             0.53183,             0.55512,             0.36933,            0.027077,            0.043161,            0.010841,           0.0095644,           0.0095644,           0.0095644
                  13,            0.029771,            0.061516,            0.011289,              0.9832,              0.5226,             0.56291,             0.39217,             0.02468,            0.042803,            0.010745,           0.0095248,           0.0095248,           0.0095248
                  14,            0.029168,            0.061155,            0.010915,             0.97639,             0.53289,             0.56575,             0.39955,            0.023539,            0.042688,           0.0098602,           0.0094852,           0.0094852,           0.0094852
                  15,            0.028938,            0.059878,            0.010441,             0.97847,             0.53329,             0.56964,             0.40275,            0.024062,            0.042461,           0.0099755,           0.0094456,           0.0094456,           0.0094456
                  16,            0.028607,            0.059985,            0.010064,             0.97778,             0.53838,             0.57169,              0.3958,            0.024429,            0.041517,            0.010046,            0.009406,            0.009406,            0.009406
                  17,            0.028247,            0.059573,           0.0097352,             0.93541,             0.54676,             0.57713,             0.41728,            0.023496,            0.040912,           0.0088042,           0.0093664,           0.0093664,           0.0093664
                  18,            0.027916,            0.058605,           0.0093043,             0.97485,             0.54076,             0.57381,             0.42229,            0.022469,            0.039965,           0.0089984,           0.0093268,           0.0093268,           0.0093268
                  19,            0.027571,             0.05799,           0.0090082,             0.92511,             0.55203,             0.57527,             0.40654,            0.023999,             0.04063,           0.0086503,           0.0092872,           0.0092872,           0.0092872
                  20,            0.027213,            0.057885,            0.008812,             0.97999,             0.54181,             0.56887,             0.42028,            0.022199,             0.04006,           0.0080952,           0.0092476,           0.0092476,           0.0092476
                  21,            0.026991,             0.05684,           0.0084883,             0.89841,             0.55775,             0.58137,               0.409,            0.023999,            0.041301,           0.0082397,            0.009208,            0.009208,            0.009208
                  22,            0.026524,            0.056018,           0.0083698,             0.94453,             0.55557,             0.58533,             0.42488,            0.022796,            0.040673,           0.0077552,           0.0091684,           0.0091684,           0.0091684
                  23,            0.026567,            0.056056,           0.0080831,             0.87405,             0.56658,             0.58736,             0.40661,            0.024385,             0.04131,           0.0080139,           0.0091288,           0.0091288,           0.0091288
                  24,            0.026494,            0.056071,            0.008003,             0.96531,             0.54871,             0.58502,             0.43285,            0.022418,            0.040302,           0.0078765,           0.0090892,           0.0090892,           0.0090892
                  25,            0.026362,            0.055574,           0.0077254,             0.92972,             0.56169,             0.59147,             0.41996,             0.02345,            0.041429,           0.0075561,           0.0090496,           0.0090496,           0.0090496
                  26,             0.02562,            0.055003,           0.0075076,              0.8677,             0.56829,             0.58489,             0.41887,            0.022899,             0.04111,           0.0074742,             0.00901,             0.00901,             0.00901
                  27,            0.025899,            0.055536,           0.0073841,             0.90121,             0.56681,             0.59774,              0.4388,            0.021437,            0.038488,            0.007264,           0.0089704,           0.0089704,           0.0089704
                  28,            0.025572,            0.055812,             0.00726,             0.90184,             0.56881,              0.5934,             0.43988,             0.02175,            0.040075,           0.0081544,           0.0089308,           0.0089308,           0.0089308
                  29,            0.025333,            0.054675,            0.007138,             0.92537,             0.56609,             0.59438,              0.4208,            0.023509,            0.040378,           0.0074385,           0.0088912,           0.0088912,           0.0088912
                  30,             0.02501,            0.053938,           0.0069152,             0.87948,             0.57621,             0.60075,             0.45016,            0.021078,            0.038776,           0.0071833,           0.0088516,           0.0088516,           0.0088516
                  31,             0.02486,            0.054405,           0.0068341,              0.9033,             0.57048,             0.60057,             0.43173,            0.023032,            0.040919,           0.0072544,            0.008812,            0.008812,            0.008812
                  32,             0.02475,            0.053515,           0.0066262,             0.89155,             0.57627,             0.60118,             0.44072,            0.021861,            0.040382,           0.0072698,           0.0087724,           0.0087724,           0.0087724
                  33,            0.024554,            0.053195,           0.0065117,             0.87567,             0.58765,              0.6117,             0.42825,            0.024265,            0.041728,           0.0072579,           0.0087328,           0.0087328,           0.0087328
                  34,            0.024258,            0.052839,           0.0064465,             0.89425,             0.58141,             0.60941,             0.44981,            0.022024,            0.040039,           0.0070172,           0.0086932,           0.0086932,           0.0086932
                  35,            0.024314,            0.052281,           0.0063894,             0.80224,             0.59244,             0.60299,             0.45253,            0.021209,            0.038963,           0.0066505,           0.0086536,           0.0086536,           0.0086536
                  36,            0.024541,            0.052981,           0.0063378,             0.90694,             0.57668,             0.60182,             0.45237,            0.020726,            0.038961,           0.0067442,            0.008614,            0.008614,            0.008614
                  37,            0.023916,            0.051921,           0.0061554,             0.90212,             0.57422,             0.59366,             0.43706,            0.022519,            0.040031,           0.0068792,           0.0085744,           0.0085744,           0.0085744
                  38,            0.023935,            0.052136,           0.0060402,             0.83769,             0.58685,              0.6137,             0.46961,            0.020411,            0.037749,           0.0067775,           0.0085348,           0.0085348,           0.0085348
                  39,            0.023627,            0.051618,            0.005963,             0.85065,              0.5923,             0.60438,             0.45882,            0.020846,             0.03839,           0.0073156,           0.0084952,           0.0084952,           0.0084952
                  40,            0.023816,            0.051515,           0.0058873,             0.84138,             0.58364,             0.59686,             0.44907,            0.021409,            0.039126,           0.0068615,           0.0084556,           0.0084556,           0.0084556
                  41,            0.023586,            0.051884,           0.0057841,             0.88231,             0.58298,             0.60532,             0.45346,            0.020919,            0.038819,            0.006592,            0.008416,            0.008416,            0.008416
                  42,            0.023246,            0.051102,           0.0055986,             0.91165,             0.57923,             0.61627,             0.47352,            0.019781,            0.037888,           0.0068562,           0.0083764,           0.0083764,           0.0083764
                  43,            0.023388,            0.051061,           0.0057519,             0.87675,             0.58594,             0.61441,             0.46502,            0.020295,            0.038261,           0.0065216,           0.0083368,           0.0083368,           0.0083368
                  44,            0.022786,            0.050797,           0.0055654,             0.81627,             0.59412,             0.61336,             0.47099,            0.019692,            0.037703,            0.006778,           0.0082972,           0.0082972,           0.0082972
                  45,            0.023165,             0.05067,           0.0055372,             0.88388,             0.58762,             0.61325,             0.46298,            0.020685,            0.038137,           0.0069634,           0.0082576,           0.0082576,           0.0082576
                  46,            0.023088,            0.051484,           0.0054743,             0.83225,             0.61097,             0.61875,             0.46617,            0.020541,            0.038031,           0.0065554,            0.008218,            0.008218,            0.008218
                  47,            0.022726,            0.050176,           0.0053255,             0.87516,             0.59005,             0.61436,             0.46567,              0.0205,            0.038028,           0.0064031,           0.0081784,           0.0081784,           0.0081784
                  48,            0.022496,            0.050014,              0.0053,             0.86115,             0.58707,             0.61409,             0.46657,             0.02029,            0.038112,           0.0063059,           0.0081388,           0.0081388,           0.0081388
                  49,            0.022435,            0.049795,           0.0052196,              0.9173,             0.58326,             0.61424,             0.46621,            0.020535,            0.038016,           0.0066229,           0.0080992,           0.0080992,           0.0080992
                  50,            0.022525,            0.049595,           0.0052225,             0.86023,             0.59375,             0.60671,             0.46239,            0.020748,            0.038421,           0.0067337,           0.0080596,           0.0080596,           0.0080596
                  51,            0.022421,            0.049872,           0.0051712,              0.8889,             0.59214,             0.62934,             0.47802,            0.019825,            0.037277,           0.0062118,             0.00802,             0.00802,             0.00802
                  52,            0.022581,            0.049272,           0.0051004,             0.88029,             0.59285,             0.61372,             0.47537,            0.019658,            0.037425,           0.0066551,           0.0079804,           0.0079804,           0.0079804
                  53,            0.022057,            0.049342,           0.0050853,             0.85334,             0.60719,             0.61124,             0.45778,            0.021287,            0.039166,            0.006264,           0.0079408,           0.0079408,           0.0079408
                  54,             0.02204,            0.049127,           0.0049547,             0.85495,             0.60814,             0.61424,             0.46901,             0.02041,            0.037779,           0.0064795,           0.0079012,           0.0079012,           0.0079012
                  55,            0.022143,            0.049012,            0.004998,             0.85079,             0.59516,             0.60413,             0.45611,            0.020922,            0.039075,           0.0064464,           0.0078616,           0.0078616,           0.0078616
                  56,            0.022122,            0.048681,           0.0049095,             0.87945,              0.5837,             0.60478,             0.46121,            0.020754,            0.038684,           0.0063839,            0.007822,            0.007822,            0.007822
                  57,            0.021808,            0.048025,           0.0049055,             0.90673,             0.60132,             0.61031,              0.4681,            0.020031,            0.037763,           0.0065836,           0.0077824,           0.0077824,           0.0077824
                  58,             0.02172,            0.048277,           0.0049028,             0.87237,             0.60139,             0.61849,             0.47202,            0.019982,            0.037372,            0.006087,           0.0077428,           0.0077428,           0.0077428
                  59,            0.021505,            0.047863,            0.004738,             0.84849,             0.60146,             0.60708,             0.46465,            0.020421,            0.037796,           0.0069606,           0.0077032,           0.0077032,           0.0077032
                  60,            0.021572,            0.048309,            0.004851,             0.87443,             0.60642,             0.62228,             0.48467,            0.019071,            0.036857,           0.0067461,           0.0076636,           0.0076636,           0.0076636
                  61,            0.021577,             0.04798,            0.004746,             0.84882,             0.59858,             0.60896,             0.47182,            0.019455,            0.037043,           0.0066046,            0.007624,            0.007624,            0.007624
                  62,            0.021218,            0.047539,           0.0047177,             0.88988,             0.59574,             0.59972,             0.46516,            0.019706,            0.038084,           0.0066579,           0.0075844,           0.0075844,           0.0075844
                  63,            0.021521,            0.048031,           0.0046507,             0.88476,              0.6003,             0.61378,             0.47757,            0.019452,            0.037328,            0.006331,           0.0075448,           0.0075448,           0.0075448
                  64,            0.021213,            0.047974,           0.0045882,             0.87599,             0.60123,             0.60898,             0.47722,            0.019226,            0.036819,           0.0065815,           0.0075052,           0.0075052,           0.0075052
                  65,            0.021089,            0.047713,            0.004627,             0.87885,              0.6025,             0.61243,             0.47297,            0.019994,              0.0377,           0.0066029,           0.0074656,           0.0074656,           0.0074656
                  66,            0.021564,            0.047907,           0.0046132,             0.87955,             0.60155,             0.62607,             0.48148,            0.019362,            0.037026,           0.0065436,            0.007426,            0.007426,            0.007426
                  67,            0.021318,            0.047758,           0.0045545,             0.84004,             0.60275,             0.61267,             0.48147,            0.018766,            0.036311,           0.0063973,           0.0073864,           0.0073864,           0.0073864
                  68,            0.020857,            0.047372,            0.004442,             0.87991,              0.5963,             0.61545,             0.47591,            0.019524,            0.037211,           0.0063702,           0.0073468,           0.0073468,           0.0073468
                  69,            0.020952,            0.046996,           0.0044808,             0.88307,              0.5993,             0.61614,             0.48522,            0.018842,            0.036718,           0.0063428,           0.0073072,           0.0073072,           0.0073072
                  70,            0.021129,            0.047278,            0.004424,             0.88714,             0.59672,             0.61505,             0.47282,            0.019847,            0.037879,           0.0062829,           0.0072676,           0.0072676,           0.0072676
                  71,            0.020891,            0.046894,           0.0043769,             0.89302,             0.60279,              0.6227,              0.4874,            0.018827,             0.03705,           0.0062044,            0.007228,            0.007228,            0.007228
                  72,            0.020603,            0.046458,           0.0043629,             0.88709,             0.60269,             0.61788,             0.48125,            0.019144,            0.037009,           0.0062833,           0.0071884,           0.0071884,           0.0071884
                  73,             0.02102,            0.047388,           0.0043512,             0.88591,             0.60181,             0.61792,             0.48395,             0.01879,            0.036696,           0.0063551,           0.0071488,           0.0071488,           0.0071488
                  74,             0.02065,            0.046547,           0.0042584,             0.89224,             0.59811,             0.61938,             0.47701,            0.019652,            0.037773,           0.0061611,           0.0071092,           0.0071092,           0.0071092
                  75,            0.020582,            0.046437,            0.004324,             0.89009,             0.59193,             0.60987,             0.47297,            0.019255,            0.037433,           0.0060845,           0.0070696,           0.0070696,           0.0070696
                  76,            0.020376,            0.046192,           0.0042476,             0.88197,             0.60352,              0.6195,              0.4797,            0.019587,             0.03731,           0.0062093,             0.00703,             0.00703,             0.00703
                  77,            0.020567,            0.046245,           0.0042333,             0.88761,              0.6036,             0.61363,             0.48198,            0.019056,            0.036578,           0.0061314,           0.0069904,           0.0069904,           0.0069904
